relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
math3\analysis\FunctionUtils.java,org.apache.commons.math3.analysis.FunctionUtils,25,0,0,22,22,31,435,343,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0.101398601398601,-0.0952380952380952,0,0,0,0,231,231,22,21,undefined,0.818514818514819,0.00432900432900433,undefined,0,0,-0.777777777777777,0,0,0,0,0,13,0,0,0,0,7,0,2,7,0,0,0,0,35,2,31,0
math3\analysis\differentiation\DSCompiler.java,org.apache.commons.math3.analysis.differentiation.DSCompiler,186,8,8,48,48,213,863,715,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.320074005550416,0.816666666666667,0.95,300,0.95,784,440,14,1,0.893617021276596,0.844365642237983,0.348404255319149,0.125,0.957446808510638,0.957446808510638,0.349966284558327,0.816666666666667,0,0,0,0,8,1,0,0,0,140,0,53,140,1,1,1,1,69,53,107,0
math3\analysis\differentiation\DerivativeStructure.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,107,3,3,83,83,103,565,394,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0.0749665327978581,0.632941884974405,0.960045662100457,0.972602739726027,288,0.972602739726027,1292,0,18,1,0.552845528455285,0.876122375681588,0.641786658830444,0.453815261044177,0.98780487804878,0.975609756097561,-0.486238532110093,0.960045662100457,0,0,0,0,9,1,0,0,0,354,0,93,354,0,1,71,1,87,93,204,0
math3\analysis\differentiation\FiniteDifferencesDifferentiator.java,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,15,6,6,8,8,12,150,124,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.178571428571429,-0.0476190476190476,0,0,0,0,23,18,5,4,0.928571428571429,0.683673469387755,0.214285714285714,0.1875,0.571428571428571,0.571428571428571,-0.333333333333338,0,0,0,0,0,11,0,0,0,0,34,0,14,34,0,0,0,2,0,14,39,0
math3\analysis\differentiation\GradientFunction.java,org.apache.commons.math3.analysis.differentiation.GradientFunction,4,1,1,2,2,2,21,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,7,0,2,7,0,0,0,0,1,2,29,0
math3\analysis\differentiation\JacobianFunction.java,org.apache.commons.math3.analysis.differentiation.JacobianFunction,5,1,1,2,2,2,23,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,7,0,2,7,0,0,0,0,0,2,29,0
math3\analysis\function\Abs.java,org.apache.commons.math3.analysis.function.Abs,1,0,0,1,1,1,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,2,0
math3\analysis\function\Acos.java,org.apache.commons.math3.analysis.function.Acos,3,0,0,3,3,2,12,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,5,0,0,0,2,0,3,13,0
math3\analysis\function\Acosh.java,org.apache.commons.math3.analysis.function.Acosh,3,0,0,3,3,2,12,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,5,0,0,0,2,0,3,13,0
math3\analysis\function\Add.java,org.apache.commons.math3.analysis.function.Add,1,0,0,1,1,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
